record_num,id,latitude,longitude,bearing,current_status,current_stop_sequence,direction_id,label,occupancy_status,revenue,speed,updated_at
46616,y1829,42.3649,-71.10297,135.0,STOPPED_AT,7.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:17:49
46617,y1781,42.362897,-71.099663,317.0,STOPPED_AT,17.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:17:48
46618,y1759,42.341462,-71.082965,120.0,STOPPED_AT,15.0,1,1759,FULL,REVENUE,,2026-09-20 03:17:47
46619,y1918,42.339009,-71.080164,137.0,STOPPED_AT,16.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:17:53
46620,y1892,42.340455,-71.081214,311.0,IN_TRANSIT_TO,10.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:17:58
46621,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:17:52
46622,y1860,42.372969,-71.117347,,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:17:56
46623,y1829,42.36484,-71.10298,,STOPPED_AT,7.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:17:55
46624,y1781,42.36335,-71.1002,315.0,IN_TRANSIT_TO,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:17:55
46625,y1759,42.340911,-71.082266,133.0,IN_TRANSIT_TO,16.0,1,1759,FULL,REVENUE,,2026-09-20 03:17:57
46626,y1918,42.338877,-71.080148,211.0,STOPPED_AT,16.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:06
46627,y1892,42.340517,-71.081371,258.0,IN_TRANSIT_TO,10.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:09
46628,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:07
46629,y1860,42.372976,-71.117357,,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:02
46630,y1829,42.3649,-71.10297,135.0,STOPPED_AT,7.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:04
46631,y1781,42.363612,-71.100681,297.0,IN_TRANSIT_TO,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:08
46632,y1759,42.340787,-71.082011,136.0,IN_TRANSIT_TO,16.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:05
46633,y1918,42.338763,-71.079985,137.0,STOPPED_AT,16.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:17
46634,y1892,42.340512,-71.081352,315.0,IN_TRANSIT_TO,10.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:19
46635,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:07
46636,y1860,42.373,-71.11728,270.0,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:11
46637,y1829,42.3649,-71.10297,135.0,STOPPED_AT,7.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:04
46638,y1781,42.363724,-71.100762,318.0,IN_TRANSIT_TO,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:19
46639,y1759,42.340824,-71.082013,,IN_TRANSIT_TO,16.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:17
46640,y1918,42.337403,-71.078227,138.0,IN_TRANSIT_TO,17.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:33
46641,y1892,42.340514,-71.081335,,IN_TRANSIT_TO,10.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:26
46642,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:07
46643,y1860,42.373,-71.11728,270.0,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:11
46644,y1829,42.3649,-71.10297,135.0,STOPPED_AT,7.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:04
46645,y1781,42.364082,-71.101352,309.0,IN_TRANSIT_TO,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:29
46646,y1759,42.340783,-71.081995,138.0,IN_TRANSIT_TO,16.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:32
46647,y1918,42.336915,-71.07765,138.0,IN_TRANSIT_TO,17.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:39
46648,y1892,42.34088,-71.08208,315.0,IN_TRANSIT_TO,10.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:40
46649,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:38
46650,y1860,42.373,-71.11728,270.0,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:41
46651,y1829,42.3649,-71.10297,135.0,STOPPED_AT,7.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:37
46652,y1781,42.364412,-71.102006,308.0,IN_TRANSIT_TO,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:41
46653,y1759,42.340511,-71.081635,134.0,IN_TRANSIT_TO,16.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:38
46654,y1918,42.336187,-71.076749,146.0,STOPPED_AT,17.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:51
46655,y1892,42.341504,-71.082907,319.0,IN_TRANSIT_TO,10.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:50
46656,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:53
46657,y1860,42.373,-71.11728,270.0,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:41
46658,y1829,42.364325,-71.101996,126.0,IN_TRANSIT_TO,8.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:52
46659,y1781,42.364881,-71.102695,317.0,IN_TRANSIT_TO,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:52
46660,y1759,42.340031,-71.081055,145.0,IN_TRANSIT_TO,16.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:50
46661,y1918,42.336181,-71.076699,105.0,STOPPED_AT,17.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:57
46662,y1892,42.34162,-71.083122,357.0,STOPPED_AT,10.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:01
46663,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:53
46664,y1860,42.373,-71.11729,270.0,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:56
46665,y1829,42.3641,-71.101548,128.0,IN_TRANSIT_TO,8.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:58
46666,y1781,42.364848,-71.102692,319.0,IN_TRANSIT_TO,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:57
46667,y1759,42.339613,-71.080667,134.0,IN_TRANSIT_TO,16.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:01
46668,y1918,42.336131,-71.076582,134.0,STOPPED_AT,17.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:13
46669,y1892,42.341605,-71.083099,,STOPPED_AT,10.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:11
46670,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:08
46671,y1860,42.373,-71.11729,270.0,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:18:56
46672,y1829,42.363825,-71.100582,103.0,IN_TRANSIT_TO,8.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:09
46673,y1781,42.365061,-71.103132,307.0,IN_TRANSIT_TO,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:14
46674,y1759,42.33953,-71.08065,135.0,IN_TRANSIT_TO,16.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:08
46675,y1918,42.335769,-71.076183,139.0,STOPPED_AT,17.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:19
46676,y1892,42.341605,-71.083099,,STOPPED_AT,10.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:11
46677,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:08
46678,y1860,42.373,-71.11729,270.0,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:11
46679,y1829,42.363282,-71.100126,142.0,IN_TRANSIT_TO,8.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:21
46680,y1781,42.365406,-71.103553,335.0,IN_TRANSIT_TO,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:25
46681,y1759,42.339589,-71.08062,135.0,IN_TRANSIT_TO,16.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:23
46682,y1918,42.33459,-71.074926,144.0,IN_TRANSIT_TO,18.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:36
46683,y1892,42.341606,-71.083089,,STOPPED_AT,10.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:31
46684,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:08
46685,y1860,42.373,-71.11729,270.0,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:11
46686,y1829,42.36304,-71.099873,128.0,IN_TRANSIT_TO,8.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:31
46687,y1781,42.365258,-71.103424,,STOPPED_AT,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:36
46688,y1759,42.339294,-71.080286,142.0,IN_TRANSIT_TO,16.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:34
46689,y1918,42.334473,-71.07483,81.0,STOPPED_AT,18.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:42
46690,y1892,42.341828,-71.083431,312.0,STOPPED_AT,10.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:43
46691,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:38
46692,y1860,42.373,-71.11729,270.0,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:41
46693,y1829,42.362571,-71.0993,139.0,STOPPED_AT,8.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:42
46694,y1781,42.36526,-71.103431,,STOPPED_AT,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:41
46695,y1759,42.338748,-71.079706,138.0,STOPPED_AT,16.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:44
46696,y1918,42.334477,-71.074819,,STOPPED_AT,18.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:47
46697,y1892,42.342037,-71.083691,75.0,STOPPED_AT,10.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:55
46698,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:38
46699,y1860,42.373,-71.11729,270.0,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:41
46700,y1829,42.362616,-71.099295,154.0,STOPPED_AT,8.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:53
46701,y1781,42.365265,-71.103455,304.0,STOPPED_AT,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:54
46702,y1759,42.338116,-71.078972,135.0,IN_TRANSIT_TO,17.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:55
46703,y1918,42.33428,-71.074536,125.0,STOPPED_AT,18.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:03
46704,y1892,42.342046,-71.0837,,STOPPED_AT,11.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:00
46705,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:53
46706,y1860,42.373036,-71.117378,277.0,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:03
46707,y1829,42.362624,-71.099338,,STOPPED_AT,8.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:19:59
46708,y1781,42.365374,-71.10364,282.0,STOPPED_AT,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:01
46709,y1759,42.337811,-71.078602,137.0,IN_TRANSIT_TO,17.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:01
46710,y1918,42.333834,-71.073558,122.0,IN_TRANSIT_TO,19.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:08
46711,y1892,42.342101,-71.083791,311.0,STOPPED_AT,11.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:12
46712,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:08
46713,y1860,42.3731,-71.11765,270.0,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:11
46714,y1829,42.362623,-71.09929,,STOPPED_AT,8.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:11
46715,y1781,42.365492,-71.103699,,STOPPED_AT,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:12
46716,y1759,42.33748,-71.07824,135.0,IN_TRANSIT_TO,17.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:09
46717,y1918,42.333699,-71.073578,,STOPPED_AT,19.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:25
46718,y1892,42.342345,-71.084091,3.0,STOPPED_AT,11.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:24
46719,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:08
46720,y1860,42.373021,-71.117739,,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:27
46721,y1829,42.362275,-71.098632,127.0,STOPPED_AT,8.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:24
46722,y1781,42.365496,-71.103785,285.0,STOPPED_AT,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:27
46723,y1759,42.336866,-71.077462,138.0,IN_TRANSIT_TO,17.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:25
46724,y1918,42.333699,-71.073578,,STOPPED_AT,19.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:25
46725,y1892,42.342349,-71.084166,,STOPPED_AT,11.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:36
46726,y1867,42.341313,-71.058054,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:30
46727,y1860,42.373021,-71.117739,,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:27
46728,y1829,42.361755,-71.097852,140.0,IN_TRANSIT_TO,9.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:36
46729,y1781,42.365496,-71.103785,285.0,STOPPED_AT,18.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:27
46730,y1759,42.336866,-71.077462,138.0,IN_TRANSIT_TO,17.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:25
46731,y1918,42.33365,-71.07369,135.0,STOPPED_AT,19.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:38
46732,y1892,42.34235,-71.08422,315.0,STOPPED_AT,11.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:40
46733,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:38
46734,y1860,42.3731,-71.11766,270.0,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:41
46735,y1829,42.361824,-71.097797,334.0,IN_TRANSIT_TO,9.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:42
46736,y1781,42.366127,-71.105034,307.0,IN_TRANSIT_TO,19.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:43
46737,y1759,42.33662,-71.077254,135.0,STOPPED_AT,17.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:46
46738,y1918,42.33365,-71.07369,135.0,STOPPED_AT,19.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:47
46739,y1892,42.34235,-71.08423,315.0,STOPPED_AT,11.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:55
46740,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:53
46741,y1860,42.3731,-71.11766,270.0,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:41
46742,y1829,42.3618,-71.097777,,IN_TRANSIT_TO,9.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:54
46743,y1781,42.366612,-71.105695,307.0,IN_TRANSIT_TO,19.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:55
46744,y1759,42.33663,-71.07712,135.0,STOPPED_AT,17.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:54
46745,y1918,42.33365,-71.07369,135.0,STOPPED_AT,19.0,1,1918,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:21:02
46746,y1892,42.342333,-71.084264,310.0,STOPPED_AT,11.0,0,1892,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:21:04
46747,y1867,42.34124,-71.05803,90.0,STOPPED_AT,1.0,0,1867,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:53
46748,y1860,42.3731,-71.11766,270.0,STOPPED_AT,1.0,1,1860,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:56
46749,y1829,42.361711,-71.097571,120.0,IN_TRANSIT_TO,9.0,1,1829,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:21:05
46750,y1781,42.367073,-71.106509,305.0,STOPPED_AT,19.0,0,1781,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:21:07
46751,y1759,42.33663,-71.07712,135.0,STOPPED_AT,17.0,1,1759,FEW_SEATS_AVAILABLE,REVENUE,,2026-09-20 03:20:54
